,cityname,temperature_j1,precipitation_j1,weathercode_j1,temperature_j2,precipitation_j2,weathercode_j2,temperature_j3,precipitation_j3,weathercode_j3,temperature_j4,precipitation_j4,weathercode_j4,temperature_j5,precipitation_j5,weathercode_j5,temperature_j6,precipitation_j6,weathercode_j6,temperature_j7,precipitation_j7,weathercode_j7,latitude,longitude
0,Mont Saint Michel,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,48.6359541,-1.511459954959514
1,St Malo,11.4,0.0,3,11.9,0.0,3,13.4,0.0,3,12.5,0.0,3,10.5,0.0,3,10.8,0.1,3,12.2,0.0,3,48.649518,-2.0260409
2,Bayeux,10.0,0.0,2,11.0,0.0,3,13.5,0.0,3,12.9,0.0,3,12.3,0.1,61,10.9,0.2,80,12.2,0.1,3,49.2764624,-0.7024738
3,Le Havre,9.8,0.0,2,10.2,0.0,3,12.8,0.0,3,12.3,0.0,3,11.8,0.3,61,10.8,0.1,3,12.1,0.3,80,49.4938975,0.1079732
4,Rouen,10.3,0.0,3,10.3,0.0,3,13.6,0.0,3,13.1,0.0,3,12.3,0.2,61,10.1,0.5,61,11.5,0.1,3,49.4404591,1.0939658
5,Paris,11.1,0.1,61,10.2,0.0,1,12.2,0.0,3,13.7,0.0,3,12.8,0.0,3,9.2,0.1,61,11.3,0.1,3,48.8588897,2.3200410217200766
6,Amiens,10.5,0.0,3,9.7,0.0,3,13.1,0.0,3,12.8,0.0,3,11.6,0.1,3,9.7,0.4,61,10.4,0.5,80,49.8941708,2.2956951
7,Lille,9.8,0.1,61,8.8,0.0,2,12.9,0.0,3,11.6,0.0,3,11.7,0.0,2,9.4,0.2,61,9.7,1.0,80,50.6365654,3.0635282
8,Strasbourg,15.2,0.0,3,10.1,0.0,1,8.5,0.0,3,12.3,0.1,3,12.1,0.0,3,10.3,0.0,2,9.5,0.6,61,48.584614,7.7507127
9,Chateau du Haut Koenigsbourg,11.5,0.0,3,7.1,0.0,2,7.3,0.0,3,9.0,0.0,2,9.5,0.0,3,9.2,0.0,2,8.2,1.4,61,48.249489800000006,7.34429620253195
10,Colmar,14.6,0.0,3,10.2,0.0,0,9.1,0.1,61,12.7,0.0,2,12.4,0.0,3,11.2,0.0,2,8.4,1.2,61,48.0777517,7.3579641
11,Eguisheim,13.8,0.0,3,10.1,0.0,1,10.2,0.0,3,13.0,0.0,2,12.6,0.0,3,12.1,0.0,2,8.4,1.2,61,48.0447968,7.3079618
12,Besancon,13.9,0.3,80,10.1,0.0,1,9.9,0.0,3,10.6,0.0,3,11.2,0.0,3,12.6,0.0,2,9.7,1.5,61,47.2380222,6.0243622
13,Dijon,11.6,0.3,61,9.8,0.0,1,7.3,0.0,3,10.4,0.0,3,11.4,0.0,2,8.1,0.0,3,8.6,1.6,61,47.3215806,5.0414701
14,Annecy,12.0,0.0,3,9.1,0.0,3,6.8,0.0,3,10.4,0.0,3,8.1,0.0,0,9.8,0.0,0,7.2,1.9,61,45.8992348,6.1288847
15,Grenoble,18.3,0.0,3,11.5,0.0,3,11.2,0.0,1,13.9,0.0,0,10.2,0.0,0,15.5,0.0,0,12.5,0.9,61,45.1875602,5.7357819
16,Lyon,15.0,0.0,3,11.7,0.0,1,6.5,0.0,3,8.7,0.1,61,9.6,0.0,2,13.8,0.0,0,10.9,0.3,61,45.7578137,4.8320114
17,Gorges du Verdon,11.5,0.0,3,9.8,0.0,3,10.8,0.0,0,10.3,0.0,0,10.1,0.0,0,9.3,0.0,2,5.4,0.3,61,43.7496562,6.3285616
18,Bormes les Mimosas,15.3,0.0,3,15.2,0.0,3,14.0,0.0,0,13.5,0.0,1,13.2,0.0,3,13.7,0.0,2,9.8,0.0,3,43.1506968,6.3419285
19,Cassis,17.4,0.0,1,16.3,0.0,3,14.2,0.0,0,12.8,0.0,0,14.6,0.0,1,15.1,0.0,2,14.1,0.1,61,43.2140359,5.5396318
20,Marseille,18.2,0.0,3,16.2,0.0,3,14.2,0.0,0,12.8,0.0,0,14.6,0.0,1,15.3,0.0,2,13.1,0.3,61,43.2961743,5.3699525
21,Aix en Provence,15.6,0.0,3,12.4,0.0,3,11.9,0.0,0,12.0,0.0,0,13.7,0.0,2,13.2,0.0,1,11.8,0.3,61,43.5298424,5.4474738
22,Avignon,14.1,0.0,3,12.8,0.0,3,11.5,0.0,0,16.2,0.0,0,12.1,0.0,0,14.6,0.1,2,11.1,0.3,3,43.9492493,4.8059012
23,Uzes,13.3,0.0,3,12.6,0.0,3,11.4,0.0,3,15.8,0.0,0,12.7,0.0,0,13.5,0.0,2,10.1,0.2,3,44.0121279,4.4196718
24,Nimes,13.9,0.0,3,13.3,0.0,3,12.5,0.0,2,16.0,0.0,0,13.1,0.0,0,14.1,0.0,2,10.6,0.1,61,43.8374249,4.3600687
25,Aigues Mortes,15.4,0.0,3,13.5,0.0,3,12.4,0.0,2,16.0,0.0,0,13.2,0.0,1,15.1,0.0,2,12.4,0.2,3,43.5658225,4.1912837
26,Saintes Maries de la mer,14.6,0.0,3,12.6,0.0,3,10.9,0.0,1,14.5,0.0,0,11.8,0.0,1,15.1,0.0,2,12.5,0.2,3,43.4522771,4.4287172
27,Collioure,14.8,0.0,3,15.0,0.0,3,14.9,0.0,1,16.9,0.0,1,13.2,0.0,0,12.8,0.0,0,10.0,0.0,3,42.52505,3.0831554
28,Carcassonne,15.0,0.0,3,12.5,0.0,0,10.5,0.0,1,13.1,0.0,0,10.2,0.0,2,12.9,0.0,1,10.2,0.1,3,43.2130358,2.3491069
29,Ariege,5.3,0.0,3,4.2,0.0,3,8.0,0.0,1,8.5,0.0,0,9.1,0.0,0,10.7,0.0,0,8.3,0.0,3,42.9455368,1.4065544156065486
30,Toulouse,12.9,0.3,61,12.0,0.0,2,7.7,0.0,3,11.7,0.0,2,9.2,0.0,3,12.5,0.0,2,10.5,0.1,3,43.6044622,1.4442469
31,Montauban,12.5,0.2,61,11.3,0.0,2,7.2,0.0,45,10.7,0.0,2,7.8,0.0,3,9.1,0.0,3,10.3,0.2,3,44.0175835,1.3549991
32,Biarritz,12.7,0.0,3,13.1,0.0,2,13.2,0.0,3,14.4,0.0,0,13.0,0.0,0,13.7,0.0,3,15.2,0.0,3,43.471143749999996,-1.552726590666314
33,Bayonne,13.5,0.0,3,13.7,0.0,2,13.3,0.0,3,14.5,0.0,0,13.3,0.0,0,14.2,0.0,3,15.6,0.0,3,43.4945144,-1.4736657
34,La Rochelle,13.3,0.0,0,11.2,0.0,3,12.3,0.1,51,12.4,0.0,3,11.6,0.0,3,10.4,0.7,61,13.8,0.2,2,46.1591126,-1.1520434
