name,link,review_score,review_count,area,address,coordinates_gps,description
La Bastide du Calalou; BW Signature Collection,https://www.booking.com/hotel/fr/bastide-du-calalou.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",667 expériences vécues,Moissac-Bellevue,"Le Village, 83630 Moissac-Bellevue, France","6.14462804384087,43.6364009674548,6.1943810027137,43.672331800601","La Bastide Du Calalou est située à 30 minutes de route des Gorges du Verdon et à 20 minutes en voiture du lac de Sainte-Croix. Elle dispose d'une piscine extérieure chauffée, d'un court de tennis et de chambres élégantes donnant sur la vallée d'Aups.
Les chambres sont équipées d'une connexion Wi-Fi gratuite ainsi que d'une télévision par satellite à écran plat. Certaines sont munies d'un lecteur DVD et de vidéo.
Un petit-déjeuner buffet complet est servi tous les matins. Vous pourrez déguster une cuisine régionale préparée avec des produits locaux au restaurant de l'établissement. Vous pourrez déjeuner et dîner à l'intérieur du restaurant ou sur la terrasse.
La Bastide Du Calalou se trouve à proximité du village de Tourtour et du marché de la truffe noire, le troisième plus important de France, qui se tient de décembre à avril.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement La Bastide du Calalou; BW Signature Collection accueille des clients Booking.com depuis le 8 avr. 2010.
Chaîne hôtelière/marque: BW Signature Collection by Best Western"
Château et Golf De Taulane,https://www.booking.com/hotel/fr/chateau-et-golf-de-taulane.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from=searchresults#hotelTmpl,"8,4",85 expériences vécues,La Martre,"Le Logis Du Pin D6085, 83840 La Martre, France","6.59455369817486,43.7559683396021,6.64440602421293,43.7918991727483","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Château et Golf De Taulane ! Connectez-vous pour économiser.
L'hôtel 4 étoiles Château et Golf De Taulane vous accueille à 20 km des gorges du Verdon, dans un cadre exceptionnel avec un parcours de golf de 18 trous. Il est pourvu de chambres élégantes et d'excellentes installations. La ville de Grasse est à 40 km.
Les chambres sont aménagées dans le château datant du XVIIIe siècle et dans le manoir. Elles sont décorées avec goût dans un style provençal traditionnel. Pour votre confort, des peignoirs, des chaussons et des articles de toilette gratuits seront mis à votre disposition.
Le restaurant de l'établissement sert une cuisine de qualité préparée par un cuisinier de talent. Un bar et une variété de services hôteliers haut de gamme vous seront en outre proposés.
Vous bénéficierez d'un accès gratuit à la piscine, au sauna, au spa et au bain à remous.
L'établissement Château et Golf De Taulane se trouve à 20 minutes en voiture de Castellane et à 50 km de Draguignan. Un parking gratuit est présent sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Château et Golf De Taulane accueille des clients Booking.com depuis le 1 juil. 2009."
"Villa Borghese, The Originals Relais",https://www.booking.com/hotel/fr/villa-borghese.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from=searchresults#hotelTmpl,"7,5",442 expériences vécues,Gréoux-les-Bains,"Avenue des Thermes, 04800 Gréoux-les-Bains, France","5.8698006741633,43.7401733579704,5.91963983849386,43.7761041911166","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Villa Borghese, The Originals Relais ! Connectez-vous pour économiser.
Situé à Gréoux-les-Bains, entre les gorges du Verdon et le Lubéron, l'établissement Villa Borghese vous accueille dans un parc entouré de chênes centenaires. Il dispose d'une piscine extérieure chauffée avec terrasse et d'un centre de bien-être.
Offrant une vue sur le jardin, ses chambres intimes sont équipées de la climatisation et d'une télévision par satellite. Leur salle de bains privative est pourvue d'une baignoire et d'articles de toilette gratuits. Une connexion Wi-Fi est disponible gratuitement.
Recommandé par les guides de voyages et de restaurants, le restaurant gastronomique situé sur place, La Table de Pauline, sert le petit-déjeuner chaque matin et une cuisine provençale. Le Côté Jardin propose quant à lui des repas dans un cadre décontracté.
Un court de tennis et un sauna sont également à votre disposition sur place. Le Villa Borghese se trouve à 14 km de l'autoroute A51 et à 16 km de Manosque. La gare TGV d'Aix-en-Provence se situe à 70 km. Un parking privé est disponible gratuitement sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Villa Borghese, The Originals Relais accueille des clients Booking.com depuis le 9 août 2005.
Chaîne hôtelière/marque: The Originals Relais"
Mas des Lavandes,https://www.booking.com/hotel/fr/mas-des-lavandes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3",4 expériences vécues,Riez,"Chemin du Revesca, 04500 Riez, France","6.07219691696869,43.7968775172444,6.122083381951,43.8328083503906","Offrant une vue sur la mer, le Mas des Lavandes propose un hébergement avec un balcon et une bouilloire, à environ 38 km d'ITER / Cadarache. Cette maison de vacances propose gratuitement un parking privé, une connexion Wi-Fi et une réception ouverte 24h/24.
Cette maison de vacances comprend 4 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur le jardin. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Vous pourrez profiter d'une terrasse bien exposée. Vous pourrez vous baigner dans la piscine extérieure, vous détendre dans le jardin et utiliser le barbecue. La région est prisée pour pratiquer la pêche et la randonnée.
Vous séjournerez à 36 km du parcours de golf de Digne et à 42 km du golf du Luberon. L'aéroport de Marseille-Provence, le plus proche, est implanté à 109 km.
L'établissement Mas des Lavandes accueille des clients Booking.com depuis le 22 août 2015.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
"La Maison du Courtil, Amande-Olive",https://www.booking.com/hotel/fr/le-courtil-duplex-amande-olive.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,4",35 expériences vécues,Moustiers-Sainte-Marie,"Le Courtil, Amande-Olive Rue du Courtil, 04360 Moustiers-Sainte-Marie, France","6.19632874034595,43.8295070334681,6.24624248663814,43.8654378666143","Offrant une vue sur la ville, La Maison du Courtil, Amande-Olive propose un hébergement avec un balcon et une bouilloire, à environ 41 km du parcours de golf de Digne. Offrant une vue sur la montagne, il dispose d'un court de tennis, d'une terrasse et d'une connexion Wi-Fi gratuite.
L'appartement comprend 3 chambres, 3 salles de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur le jardin.
Vous pourrez faire de la randonnée et de la pêche dans les environs ou profiter du jardin.
Vous séjournerez à 10 km du Pont et à 13 km de Puimoisson. L'aéroport de Marseille-Provence, le plus proche, est implanté à 123 km.
C'est le quartier préféré des voyageurs visitant Moustiers-Sainte-Marie, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement La Maison du Courtil, Amande-Olive accueille des clients Booking.com depuis le 4 avr. 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Résidence Odalys La Licorne de Haute Provence,https://www.booking.com/hotel/fr/la-licorne-de-haute-provence.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,5",472 expériences vécues,Gréoux-les-Bains,"Les Riayes, 04800 Gréoux-les-Bains, France","5.8640458703984,43.7438885834269,5.91388812960156,43.7798194165731","Située à 500 mètres du village et à 800 mètres des thermes, la Résidence Odalys La Licorne de Haute Provence se compose de 3 petits complexes. Elle comprend 3 piscines et des installations de détente.
Les appartements de l'établissement sont équipés d'une kitchenette avec des plaques de cuisson, un micro-ondes, un four et un lave-vaisselle.
Ceux aménagés au rez-de-chaussée disposent d'un jardin privé et tous les autres possèdent une terrasse individuelle.
La Résidence Odalys La Licorne de Haute Provence comporte 2 piscines extérieures et 1 piscine intérieure. Les amateurs de sports apprécieront également sa salle de sport.
Pour vous détendre, vous pourrez par ailleurs profiter du spa doté d'un jacuzzi, d'un hammam et d'un sauna.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Résidence Odalys La Licorne de Haute Provence accueille des clients Booking.com depuis le 31 juil. 2009.
Chaîne hôtelière/marque: Résidence Vacances Odalys"
Hotel & Spa des Gorges du Verdon,https://www.booking.com/hotel/fr/hotel-spa-des-gorges-du-verdon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",253 expériences vécues,La Palud-sur-Verdon,"Route de La Maline, 04120 La Palud-sur-Verdon, France","6.31972602550951,43.7573680115044,6.36957951839003,43.7932988446506","L'Hôtel & Spa des Gorges du Verdon est situé à La Palud au cœur du grand canyon du Verdon. Des vues panoramiques peuvent être appréciées depuis les terrasses. De plus, une piscine extérieure chauffée couverte est disponible. Vous bénéficierez gracieusement d'une connexion Wi-Fi.
Les chambres et suites sont dotées d'une télévision par satellite à écran plat ainsi que d'un coffre-fort. La plupart possèdent également un balcon privé. Leur salle de bains est pourvue d'une baignoire ou d'une douche et d'un sèche-cheveux.
Le Spa Cinq Mondes, ouvert en 2015, propose un hammam, un sauna, un bain à remous et des vélos d'aquagym. Vous pourrez également jouer au tennis, à la pétanque et au basket sur place. La salle de sport est équipée de matériel Technogym.
Castellane est à 26 km et le lac de Sainte-Croix se trouve à 20 minutes en voiture de l'Hôtel & Spa des Gorges du Verdon. Un parking privé est également disponible gratuitement sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hotel & Spa des Gorges du Verdon accueille des clients Booking.com depuis le 14 août 2009."
Villa Castellane,https://www.booking.com/hotel/fr/villa-castellane-greoux-les-bains.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from=searchresults#hotelTmpl,"8,6",77 expériences vécues,Gréoux-les-Bains,"171 Avenue des Thermes, 04800 Gréoux-les-Bains, France","5.86526843939735,43.7401215834269,5.91510756060265,43.7760524165731","Située à Gréoux-les-Bains, à 18 km d'ITER / Cadarache, la Villa Castellane propose une piscine extérieure ouverte en saison, un parking privé gratuit, un jardin et une terrasse. Il propose un restaurant, un service d'étage, une réception ouverte 24h/24 et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Vous pourrez profiter d'un bar.
Les chambres climatisées comprennent une armoire, une machine à café, un coffre-fort, une télévision à écran plat, un balcon et une salle de bains privative avec douche. Certaines sont équipées d'une kitchenette avec un réfrigérateur, un four et un lave-vaisselle. Le linge de lit et les serviettes sont fournis.
Un petit-déjeuner buffet, continental ou américain est servi tous les matins sur place.
Vous pourrez pratiquer diverses activités à Gréoux-les-Bains et dans ses environs, telles que le vélo et la randonnée.
Le golf du Luberon se trouve à 22 km de la Villa Castellane. L'aéroport de Marseille-Provence, le plus proche, est implanté à 90 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Villa Castellane accueille des clients Booking.com depuis le 7 juil. 2022."
Camping RCN Les Collines de Castellane,https://www.booking.com/hotel/fr/les-collines.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from=searchresults#hotelTmpl,"8,2",895 expériences vécues,Castellane,"Route de Grasse, La Garde , 04120 Castellane, France","6.54499771571869,43.8063796179393,6.59489212059265,43.8423104510855","Le Camping RCN Les Collines de Castellane se trouve à 20 km du lac de Castillon et à 6,5 km de Castellane, la porte des Gorges du Verdon. Il propose une piscine extérieure ouverte en saison avec toboggans et jets d'hydromassage, un restaurant, une pizzeria et un snack-bar.
Les mobile homes, les chalets et les tentes de luxe disposent d'une cuisine équipée, d'une salle de bains avec douche et de chambres pourvues d'oreillers et de couvertures. Chaque logement est muni d'une terrasse meublée.
Vous pourrez jouer à la pétanque, au basket-ball, au football et au volley-ball sur place. Lors de votre séjour, vous pourrez bénéficier d'installations de sport en plein air. Moyennant un supplément, vous pourrez profiter d'un parcours d'accrobranche, d'une tyrolienne et d'un court de tennis.
La région est prisée des amateurs de rafting, de canyoning et d'équitation.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Camping RCN Les Collines de Castellane accueille des clients Booking.com depuis le 7 juin 2012."
Le Mas de La Crémaillère,https://www.booking.com/hotel/fr/le-mas-de-la-cra-c-mailla-re.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from=searchresults#hotelTmpl,"7,8",360 expériences vécues,Gréoux-les-Bains,"776 Avenue des Thermes, 04800 Gréoux-les-Bains, France","5.87256354227658,43.7397103492124,5.92240232095127,43.7756411823586","Cet établissement est situé à seulement 1 km du centre-ville de Gréoux-les-Bains et à 300 mètres d'un spa qui propose des massages, des soins thermaux et des soins à base de boue. Sur place, vous trouverez une piscine, un restaurant et un bar avec terrasse dans le jardin.
Décorées dans des tons pastel, les chambres climatisées du Mas de La Crémaillère disposent d'un balcon. Certaines s'ouvrent sur un jardin privé doté d'un salon de jardin. De plus, les chambres comprennent une salle de bains privative, une télévision à écran plat et un réfrigérateur.
Un petit-déjeuner est disponible tous les matins moyennant un supplément. Le restaurant de l'hôtel sert des spécialités du sud de la Provence préparées avec des produits locaux et de saison. Un bar servant une large gamme de boissons vous attend également sur place.
Situé à 15 km de Manosque et du lac d'Esparron, le Mas de La Crémaillère propose une navette gratuite pour le centre-ville. Vous pourrez aussi profiter gratuitement d'un parking privé et d'une connexion Wi-Fi via hotspot.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement Le Mas de La Crémaillère accueille des clients Booking.com depuis le 14 juin 2012."
"La Maison du Courtil, Pistache-Chocolat",https://www.booking.com/hotel/fr/le-courtil-appartement-pistache-chocolat.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av_Typ0GwAIB0gIkZDJiZTg4ZGYtYWExMy00NmNkLTljMDctY2Q4NTI1NzZhZmU02AIG4AIB&sid=63811990bc4e9f2e2c676a2e6fbb8197&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=class&srpvid=00a445c665200112&srepoch=1672653339&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,4",61 expériences vécues,Moustiers-Sainte-Marie,"Le Courtil, appartement Pistache-Chocolat Rue du Courtil, 04360 Moustiers-Sainte-Marie, France","6.19631260824352,43.8295998832969,6.24622643223248,43.8655307164431","Offrant une vue sur la ville, La Maison du Courtil, Pistache-Chocolat propose un hébergement avec une terrasse et un balcon, à environ 41 km du parcours de golf de Digne. Offrant une vue sur la montagne et la piscine, cet appartement dispose également d'une connexion Wi-Fi gratuite.
Cet appartement climatisé comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous pourrez faire de la randonnée dans les environs.
Vous séjournerez à 10 km du Pont et à 13 km de Puimoisson. L'aéroport de Marseille-Provence, le plus proche, est implanté à 123 km.
C'est le quartier préféré des voyageurs visitant Moustiers-Sainte-Marie, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement La Maison du Courtil, Pistache-Chocolat accueille des clients Booking.com depuis le 5 avr. 2019."
